,tdate,TPepi,TPhypo,TPlake
35,20101201,24.14179709877198,71.65875269848581,47.90027489862889
36,20110101,42.06858206155233,42.06858206155233,42.06858206155233
37,20110201,42.90027547030972,42.90027547030972,42.90027547030972
38,20110301,41.872668949728634,41.872668949728634,41.872668949728634
39,20110401,32.27798641225647,41.872668949728634,37.07532768099255
40,20110501,0.0,52.14064305635292,26.07032152817646
41,20110601,0.0,52.11102790277456,26.05551395138728
42,20110701,0.0,52.08281149702758,26.04140574851379
43,20110801,29.49132216386294,52.052643554757566,40.771982859310256
44,20110901,0.0,62.146319453518366,31.073159726759183
45,20111001,2.379418470822994,62.110806739615555,32.245112605219276
46,20111101,14.697810094001795,63.58697961699776,39.142394855499774
47,20111201,14.939633794748197,70.7204450987731,42.83003944676065
48,20120101,43.33109177303505,43.33109177303505,43.33109177303505
49,20120201,45.4376492553583,45.4376492553583,45.4376492553583
50,20120301,44.13863760606975,44.13863760606975,44.13863760606975
51,20120401,34.04034214375971,44.13863760606975,39.08948987491473
52,20120501,0.0,54.97707057147458,27.48853528573729
53,20120601,0.0,54.94688865001898,27.47344432500949
54,20120701,20.405522428426277,54.9166863322485,37.66110438033739
55,20120801,0.0,62.47659892128172,31.23829946064086
56,20120901,0.0,62.4409850012774,31.2204925006387
57,20121001,18.000351324245898,62.40400090221582,40.20217611323086
58,20121101,24.150841909311772,70.25291533843432,47.20187862387304
59,20121201,25.816655069052683,80.9738816347551,53.395268351903894
60,20130101,54.39825842450903,54.39825842450903,54.39825842450903
61,20130201,53.78404141703884,53.78404141703884,53.78404141703884
62,20130301,54.98519222818276,54.98519222818276,54.98519222818276
63,20130401,53.474864191514094,53.474864191514094,53.474864191514094
64,20130501,58.242292320252844,53.474864191514094,55.85857825588347
65,20130601,0.0,71.78240432531189,35.891202162655944
66,20130701,25.79581809027943,71.74353651695247,48.76967730361595
67,20130801,0.0,80.87022514076027,40.435112570380134
68,20130901,0.3582451066785926,80.82338265639191,40.590813881535254
69,20131001,8.950527376985482,80.77572276412594,44.86312507055571
70,20131101,8.1987286549355,85.1102813958025,46.654505025369005
71,20131201,38.318018821818086,90.3787272740645,64.3483730479413
72,20140101,52.65274153294213,52.65274153294213,52.65274153294213
73,20140201,51.66219948796437,51.66219948796437,51.66219948796437
74,20140301,51.037200457027645,51.037200457027645,51.037200457027645
75,20140401,38.19512225558269,51.037200457027645,44.61616135630517
76,20140501,0.0,63.86672178115548,31.93336089057774
77,20140601,0.0,59.59583333555489,29.797916667777447
78,20140701,6.740932998421785,59.56192145755305,33.15142722798742
79,20140801,33.227654795488924,62.058445751470884,47.6430502734799
80,20140901,18.508618678953972,74.24862270715835,46.37862069305616
81,20141001,0.0,80.78007556492862,40.39003778246431
82,20141101,19.87675368477605,80.7266836803425,50.301718682559276
83,20141201,29.822839032766893,89.64370855503314,59.73327379390002
84,20150101,38.596354853097246,112.06361872949799,75.32998679129761
85,20150201,54.48246912583727,54.48246912583727,54.48246912583727
86,20150301,53.90528846627147,53.90528846627147,53.90528846627147
87,20150401,52.93101407457297,53.90528846627147,53.41815127042222
88,20150501,0.0,65.09740582197448,32.54870291098724
89,20150601,96.09316443382218,65.0611652301963,80.57716483200923
90,20150701,0.0,90.76051018319785,45.380255091598926
91,20150801,12.844201026711552,90.70714311905373,51.77567207288264
92,20150901,0.0,95.89571015643548,47.94785507821774
93,20151001,9.25846429533976,95.83778596849253,52.548125131916144
94,20151101,12.647952691618897,100.50704821142062,56.57750045151976
95,20151201,26.155652835827127,107.2722732746209,66.71396305522401
