Depth [m],Area [m2]
5.24,3200123.5
5.25,3199478.3
5.26,3198892.799
5.27,3198241.2
5.28,3197611.9
5.29,3196981.3
5.3,3196377.8
5.31,3195745.5
5.32,3195071.8
5.33,3194414.8
5.34,3193705.5
5.35,3192932.4
5.36,3192202.3
5.37,3191487.4
5.38,3190768.4
5.39,3190040.2
5.4,3189332.4
5.41,3188613.5
5.42,3187846.3
5.43,3187160.4
5.44,3186426.399
5.45,3185712.3
5.46,3184966.3
5.47,3184221.101
5.48,3183459.8
5.49,3182701.2
5.5,3181945.9
5.51,3181166.299
5.52,3180419.3
5.53,3179641.2
5.54,3178925.801
5.55,3178189
5.56,3177429.4
5.57,3176669.4
5.58,3175933.4
5.59,3175256.8
5.6,3174567.1
5.61,3173913.3
5.62,3173274.999
5.63,3172621.7
5.64,3171934.6
5.65,3171231.6
5.66,3170530.8
5.67,3169799.3
5.68,3169138.7
5.69,3168432.899
5.7,3167686
5.71,3166984.3
5.72,3166288.501
5.73,3165575.9
5.74,3164898.2
5.75,3164204.801
5.76,3163498.099
5.77,3162807
5.78,3162106
5.79,3161376.101
5.8,3160613.5
5.81,3159886.6
5.82,3159150.5
5.83,3158426.5
5.84,3157729.1
5.85,3157041.8
5.86,3156364.6
5.87,3155743.5
5.88,3155105.9
5.89,3154487.1
5.9,3153874.5
5.91,3153223.3
5.92,3152563.1
5.93,3151949.1
5.94,3151294.6
5.95,3150734.2
5.96,3150140.3
5.97,3149497.801
5.98,3148897.3
5.99,3148302.7
6,3147674
6.01,3147061.799
6.02,3146386.6
6.03,3145687.2
6.04,3145026.901
6.05,3144419.6
6.06,3143822.1
6.07,3143178.7
6.08,3142504.1
6.09,3141871.2
6.1,3141218.2
6.11,3140621.2
6.12,3140020.7
6.13,3139424.8
6.14,3138799.2
6.15,3138134.8
6.16,3137455.5
6.17,3136782.8
6.18,3136092.9
6.19,3135440.9
6.2,3134789
6.21,3134134.5
6.22,3133466.101
6.23,3132818.9
6.24,3132153.6
6.25,3131517.901
6.26,3130876.199
6.27,3130198.8
6.28,3129489.199
6.29,3128806.201
6.3,3128097.4
6.31,3127441.8
6.32,3126756.1
6.33,3126107.4
6.34,3125414.9
6.35,3124750.7
6.36,3124007
6.37,3123320.6
6.38,3122627.701
6.39,3121953.2
6.4,3121267
6.41,3120590.3
6.42,3119955.4
6.43,3119244.5
6.44,3118578.999
6.45,3117881.9
6.46,3117199.3
6.47,3116538.601
6.48,3115819.2
6.49,3115170.2
6.5,3114445.5
6.51,3113804.199
6.52,3113116.9
6.53,3112445.1
6.54,3111799.501
6.55,3111191.3
6.56,3110496.2
6.57,3109824.5
6.58,3109164
6.59,3108485.7
6.6,3107852.5
6.61,3107187.1
6.62,3106536.3
6.63,3105820.201
6.64,3105150.2
6.65,3104468.1
6.66,3103751
6.67,3103044.8
6.68,3102370.4
6.69,3101701.999
6.7,3100944.9
6.71,3100220.8
6.72,3099485.601
6.73,3098769
6.74,3098023.2
6.75,3097232
6.76,3096508.399
6.77,3095740.3
6.78,3094991.7
6.79,3094208.301
6.8,3093423.5
6.81,3092665.2
6.82,3091922.3
6.83,3091146.7
6.84,3090397.5
6.85,3089652.7
6.86,3088919.001
6.87,3088146.7
6.88,3087410.9
6.89,3086640.1
6.9,3085865.2
6.91,3085083.3
6.92,3084325.5
6.93,3083585.8
6.94,3082813.799
6.95,3082000.3
6.96,3081257.4
6.97,3080419.801
6.98,3079594.5
6.99,3078787.3
7,3077982.8
7.01,3077166.999
7.02,3076369.6
7.03,3075557.7
7.04,3074747.501
7.05,3073964.2
7.06,3073178.1
7.07,3072397.5
7.08,3071574.8
7.09,3070753.9
7.1,3069956.9
7.11,3069168.6
7.12,3068350.1
7.13,3067574
7.14,3066765.2
7.15,3066022
7.16,3065232.9
7.17,3064407
7.18,3063566.6
7.19,3062799.4
7.2,3062008.2
7.21,3061230.3
7.22,3060440
7.23,3059637.6
7.24,3058850.3
7.25,3058037.8
7.26,3057193.999
7.27,3056361.9
7.28,3055512
7.29,3054622.9
7.3,3053744.7
7.31,3052878.9
7.32,3052024.5
7.33,3051100.5
7.34,3050313.7
7.35,3049481.5
7.36,3048668
7.37,3047864.8
7.38,3047081
7.39,3046302.7
7.4,3045497.2
7.41,3044691.6
7.42,3043885.8
7.43,3043084.2
7.44,3042265.6
7.45,3041380
7.46,3040548.3
7.47,3039674.7
7.48,3038794.1
7.49,3037869.4
7.5,3036935.2
7.51,3035991.699
7.52,3035103.4
7.53,3034240.1
7.54,3033401.2
7.55,3032487.9
